site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
iquique,PGA,475,all,"default-depth events to interface, all families",1.2013948297785708,0.0,0.5761486853356645,cls_fix,cls_fix,0.5761486853356645
iquique,PGA,2475,interface,Z_BOTTOM 40 / 60 km,2.2677983639172306,-1.788312193758812,3.9972767900579242,zbot60,zbot40,5.785588983816736
iquique,PGA,2475,interface,Z_TOP 10 km,2.2677983639172306,0.0,1.513428340611389,ztop10,ztop10,1.513428340611389
iquique,PGA,2475,interface,declustering,2.2677983639172306,0.0,1.043959404151984,dc_gruenthal,dc_gk74sym,1.043959404151984
iquique,PGA,2475,interface,no declustering (full catalog),2.2677983639172306,-5.937072794437615,0.0,raw,raw,5.937072794437615
iquique,PGA,2475,interface,classification tolerance -5 / +5 km,2.2677983639172306,0.0,0.5864805450575217,cls_m5,cls_p5,0.5864805450575217
iquique,PGA,2475,interface,default-depth events to interface,2.2677983639172306,-0.0980173594425926,0.0,cls_fix,cls_fix,0.0980173594425926
iquique,PGA,2475,interface,"completeness table, ends of the ensemble",2.2677983639172306,-2.0153224412541637,0.9256744532357697,mc_lo,mc_hi,2.9409968944899334
iquique,PGA,2475,interface,keep 1962 / 1998 events,2.2677983639172306,0.0,0.3810009295969419,keep6298,keep6298,0.3810009295969419
iquique,PGA,2475,interface,b: fit floor 5.4 / 6.0,2.2677983639172306,-3.0210455207740017,1.9821293478544222,fit54,fit60,5.003174868628424
iquique,PGA,2475,interface,MMIN_HAZ 6.5,2.2677983639172306,0.0,0.046213624168367495,mmin65,mmin65,0.046213624168367495
iquique,PGA,2475,interface,geometry: segmented,2.2677983639172306,-6.534163294221706,0.0,seg,seg,6.534163294221706
iquique,PGA,2475,interface,rate: geodetic (mid),2.2677983639172306,0.0,0.9493108108253434,geo,geo,0.9493108108253434
iquique,PGA,2475,interface,MFD: tapered,2.2677983639172306,0.0,1.08863019843628,tapered,tapered,1.08863019843628
iquique,PGA,2475,interface,full 16-branch tree,2.2677983639172306,0.0,1.92861959184778,tree,tree,1.92861959184778
iquique,PGA,2475,interface,rupture scaling: Allen & Hayes,2.2677983639172306,-0.7255646356782885,0.0,msr_ah,msr_ah,0.7255646356782885
iquique,PGA,2475,interface,rupture aspect ratio 1.5 / 2 / 3,2.2677983639172306,0.0,3.157175438088178,asp15,asp30,3.157175438088178
iquique,PGA,2475,interface,GMM (single vs tree),2.2677983639172306,-4.896917374595223,7.694057315689551,gmm_ag,gmm_ku,12.590974690284774
iquique,PGA,2475,intraslab,class domain cut at 50 km,2.2677983639172306,-1.6872623165397505,0.0,classmask,classmask,1.6872623165397505
iquique,PGA,2475,intraslab,declustering,2.2677983639172306,0.0,2.7239871447998,dc_gk74sym,dc_gruenthal,2.7239871447998
iquique,PGA,2475,intraslab,no declustering (full catalog),2.2677983639172306,-2.331623595736476,0.0,raw,raw,2.331623595736476
iquique,PGA,2475,intraslab,classification tolerance -5 / +5 km,2.2677983639172306,-3.3747663000073924,2.585068844213523,cls_p5,cls_m5,5.959835144220915
iquique,PGA,2475,intraslab,default-depth events to interface,2.2677983639172306,0.0,0.6848476374550883,cls_fix,cls_fix,0.6848476374550883
iquique,PGA,2475,intraslab,"completeness table, ends of the ensemble",2.2677983639172306,-2.03517445960697,0.825773367246363,mc_lo,mc_hi,2.860947826853333
iquique,PGA,2475,intraslab,slab_deep b: floor 5.7 / 6.0,2.2677983639172306,-1.3919233868704417,1.8089165367825677,sd_fit57,sd_fit60,3.2008399236530094
iquique,PGA,2475,intraslab,intra_slab b: floor 5.5 / 5.8,2.2677983639172306,-2.322191030003451,2.1655996208948425,is_fit55,is_fit58,4.487790650898294
