longitude,latitude,mag,kernel_r_km
-66.708,-21.485,5.3,22.63741571213374
-69.084,-28.684,5.4,43.47779823598876
-67.739,-24.197,5.5,31.87459694620975
-69.288,-20.491,5.5,39.734687968711604
-70.145,-18.651,5.5,52.09827973139829
-68.05,-23.7,5.6,35.615467348679104
-71.034,-33.712,5.6,48.354848025464065
-69.184,-21.282,5.6,40.48446918482092
-70.154,-25.675,5.3,52.44180419726029
-66.03,-21.86,5.8,57.32568841215195
-68.301,-31.414,5.4,40.141503293149505
-69.661,-29.863,5.5,51.67079414825579
-66.496,-20.759,5.7,54.4167517261149
-69.815,-20.024,5.8,46.65677396809581
-67.95,-24.17,5.3,34.31227439884177
-67.325,-31.574,5.3,45.558548741752155
-68.482,-22.04,5.7,34.616142826082836
-67.343,-28.775,5.4,45.40743201484485
-66.869,-19.833,5.3,57.61532881347658
-69.32,-23.05,6.3,36.74039011496076
-71.943,-36.428,5.5,52.33965032867211
-68.904,-23.705,5.3,40.95316154951572
-68.56,-29.58,5.6,59.62165496586081
-66.917,-27.826,5.6,31.42514305568423
-67.308,-22.068,5.5,29.530694645162654
-66.5,-21.32,5.3,31.2180046086548
-69.208,-17.921,5.6,36.03991752745309
-66.84,-24.27,6.4,30.096495279274674
-70.577,-28.847,5.7,49.9452187789623
-71.5,-35.9,5.6,42.96257057509158
-70.526,-32.602,5.6,48.225906516427386
-68.803,-23.667,5.3,44.58312207343363
-68.564,-25.078,5.3,55.70719002241221
-69.865,-24.415,5.6,45.332345098870114
-69.17,-19.43,6.6,33.28535535932942
-68.87,-21.83,5.6,38.755309438299705
-70.763,-29.415,5.6,51.401221215586084
-69.453,-20.689,5.4,42.79051022334423
-70.49,-33.47,5.7,32.0088649190355
-69.675,-28.997,6.5,43.912001841198695
-69.991,-35.251,5.7,90.02082400260205
-69.41,-24.302,5.3,31.414597836791213
-69.882,-17.407,5.3,38.06834586007683
-67.654,-24.341,5.8,36.416295628180634
-68.601,-22.534,5.5,32.49370997311287
-70.743,-34.857,5.5,43.25717134504431
-68.764,-23.862,5.4,40.56014278506573
-68.46,-21.26,6.3,27.978426512684162
-68.032,-23.028,5.8,41.35005357516402
-71.786,-35.534,5.6,46.17459525138206
-65.12,-20.24,5.5,160.61806608820282
-73.204,-41.574,5.9,138.33742764371252
-69.147,-20.652,5.4,35.278941003106254
-70.09,-34.118,5.3,58.546403712689646
-66.59,-23.13,5.5,36.109927147375856
-65.312,-24.036,5.5,144.4456082874204
-69.72,-25.97,5.4,53.98173515884159
-70.24,-17.43,5.5,38.06834586007683
-68.828,-22.357,5.5,33.50811919474938
-71.361,-36.284,5.6,44.95911898128363
-67.033,-21.76,5.4,40.38435449347492
-66.09,-22.76,6.7,39.641544742022674
-67.296,-31.808,5.4,43.10147452853885
-69.002,-23.065,5.4,30.366056918785873
-69.38,-23.47,5.5,34.40805426824181
-68.36,-19.41,5.4,57.66510906966666
-67.45,-21.37,5.3,31.594402542889064
-66.738,-23.949,5.6,28.947317496527717
-67.17,-24.22,5.3,27.854925678442285
-70.245,-19.318,5.5,32.7174319697563
-65.74,-31.21,6.0,96.87681960004285
-70.818,-29.589,5.3,50.99618920218691
-66.665,-21.445,5.3,21.164482927424604
-68.097,-21.295,5.7,29.78227587567372
-68.554,-20.71,5.5,34.52081091656486
-69.45,-17.03,6.3,62.149814678227266
-69.16,-21.95,5.9,50.24734485271365
-67.197,-18.975,5.5,41.43245339200519
-69.06,-23.09,5.3,29.50691360153178
-69.281,-21.132,5.7,41.84623522580461
-66.71,-23.02,5.5,39.451296067555965
-69.47,-18.61,6.7,39.72109298603726
-67.686,-23.956,5.4,34.00034190203612
-68.711,-21.389,5.5,29.69355072470144
-68.791,-19.872,5.4,36.11099374900795
